UPC or EAN	Article text	TBD	Sales value	Sales value	TBD	TBD	TBD
0	1	2.0	3.0	4.0	5	6.0	7.0
2023-10-01	CP PLUS SMPS 10A	1.0	559.32	559.32	SR/23-24/01567	660.0	559.32
2023-10-01	BULLET CAMERA CP PLUS USC- TC51PL2C-0360	1.0	932.2	932.2	SR/23-24/01568	1100.0	932.2
2023-10-01	HDD 1TB SEAGATE SATA	1.0	2711.86	2711.86	SR/23-24/01569	3200.0	2711.86
2023-10-02	CP PLUS BULLET CAMERA GPC-TA24PL2C-SE	2.0	1372.88	2745.76	SR/23-24/01570	3240.0	2745.76
2023-10-02	EPSON PRINTER L-130	1.0	8050.85	8050.85	SR/23-24/01571	9500.0	8050.85
2023-10-02	HP PRINTER SMART TANK 500 AIO	1.0	8898.31	8898.31	SR/23-24/01572	10500.0	8898.31
2023-10-02	CP PLUS 8CH CP-UVR-0801E1-CV2	1.0	2838.98	2838.98	SR/23-24/01573	8460.0	7169.49
2023-10-02	CP PLUS HD 2.4MP IR BULL CAM CP-URC-TC24PL2-V3-360	1.0	830.51	830.51	SR/23-24/01573	8460.0	7169.49
2023-10-02	CP PLUS CAMERA FULL HD2.4 MP CP-URC-DC24PL2-0360	1.0	745.76	745.76	SR/23-24/01573	8460.0	7169.49
2023-10-02	DAICHI HDD 2TB	1.0	2372.88	2372.88	SR/23-24/01573	8460.0	7169.49
2023-10-02	10 MTR HDMI CABLE	1.0	381.36	381.36	SR/23-24/01573	8460.0	7169.49
2023-10-02	DC	10.0	4.24	42.4	SR/23-24/01574	182.0	154.27
2023-10-02	10 MTR USB EXT CABLE	1.0	67.8	67.8	SR/23-24/01574	182.0	154.27
2023-10-02	10MM CLIP NAIL CLIP	1.0	33.9	33.9	SR/23-24/01574	182.0	154.27
2023-10-02	PVC WHITE TAPE	1.0	10.17	10.17	SR/23-24/01574	182.0	154.27
2023-10-02	DOME CAMERA CP PLUS URC-DC24PL2C-V3	2.0	847.46	1694.92	SR/23-24/01575	2570.0	2177.97
2023-10-02	CP PLUS SMPS 5A	1.0	381.36	381.36	SR/23-24/01575	2570.0	2177.97
2023-10-02	5 MTR USB EXT CABLE	1.0	101.69	101.69	SR/23-24/01575	2570.0	2177.97
2023-10-02	CP PLUS SMPS 5A	1.0	381.36	381.36	SR/23-24/01576	1325.0	1122.99
2023-10-02	BNC BRASS	25.0	11.02	275.5	SR/23-24/01576	1325.0	1122.99
2023-10-02	DC	10.0	4.24	42.4	SR/23-24/01576	1325.0	1122.99
2023-10-02	BEETEL C11	1.0	423.73	423.73	SR/23-24/01576	1325.0	1122.99
2023-10-02	BNC BRASS	1.0	13.0	13.0	SR/23-24/01577	15.0	13.0
2023-10-02	222B SMALL QUANTUM 3D OPTICAL MOUSE USB	1.0	84.75	84.75	SR/23-24/01578	100.0	84.75
2023-10-02	222B SMALL QUANTUM 3D OPTICAL MOUSE USB	1.0	84.75	84.75	SR/23-24/01579	100.0	84.75
2023-10-02	BNC BRASS	1.0	11.02	11.02	SR/23-24/01580	13.0	11.02
2023-10-02	MICROTEK CAT 6 (305MTRS)	1.0	3127.12	3127.12	SR/T/23-24/1308	3690.0	3127.12
2023-10-02	10 MTR HDMI CABLE	1.0	381.36	381.36	SR/T/23-24/1309	7270.0	6161.02
2023-10-02	8106 QUANTUM USB LAN CARD	1.0	144.07	144.07	SR/T/23-24/1309	7270.0	6161.02
2023-10-02	CP PLUS HD 2.4MP IR BULL CAM CP-URC-TC24PL2-V3-360	3.0	830.51	2491.53	SR/T/23-24/1309	7270.0	6161.02
2023-10-02	CP PLUS CABLE NETWORK CP FCC 90R	1.0	889.83	889.83	SR/T/23-24/1309	7270.0	6161.02
2023-10-02	CP PLUS 3+1 CP-ECC-90RSO	1.0	1122.88	1122.88	SR/T/23-24/1309	7270.0	6161.02
2023-10-02	BNC BRASS	1.0	42.37	42.37	SR/T/23-24/1309	7270.0	6161.02
