Article text	TBD	Sales units	TBD
CATEGORY	Model	Sales QTY	Price
OFF	GL-S29RBCY	1	29000
43-50 UHD	43UQ7300PTA	1	32000
S BAR	S40Q	1	14000
35FF	GL-D412SESY	1	46000
TL-WM	THD10NWM	1	29100
Notebook	Inspiron 14 5430	1	73000
Notebook	Dell G5 15	1	67000
Notebook	G15-5530	1	104500
Notebook	Inspiron 5630	1	78000
Notebook	Vostro5620	1	64500
Notebook	Inspiron 3520	1	52500
Notebook	Inspiron 3520	1	39500
Notebook	Inspiron 3520	1	54500
Desktop	Vostro3020	1	46000
Notebook	Inspiron 3520	1	52000
Notebook	Inspiron 16 5635	1	57000
Notebook	Inspiron3511	1	47000
Notebook	Inspiron 3530	1	70000
Desktop	Inspiron3020	1	45000
Desktop	Inspiron3020	1	45000
Desktop	Inspiron3020	1	45000
Desktop	Inspiron3020	1	45000
Desktop	Inspiron3020	1	45000
Desktop	Vostro3020	1	46000
Notebook	Inspiron14(5430)	1	70500
Notebook	Inspiron3530	1	65000
Notebook	Inspiron 16 5635	1	55000
Notebook	Inspiron3520	1	61500
Notebook	Inspiron 3530	1	71000
Notebook	Inspiron3511	1	46000
Notebook	Inspiron3520	1	61000
Notebook	G15-5520	1	70000
Notebook	Inspiron 3520	1	53000
Notebook	Inspiron3530	1	62000
Notebook	Inspiron 3520	1	39000
Desktop	Vostro3020	1	46000
Desktop	Vostro3020	1	46000
Desktop	Vostro3020	1	46000
Notebook	Inspiron 15 (3520)	1	54000
Notebook	Inspiron3520	1	61500
Notebook	G15-5520	1	70700
Notebook	Inspiron3511	1	59000
Notebook	G15-5520	1	70000
Notebook	Inspiron 14 5430	1	84000
Notebook	Dell G5 15	1	67000
Notebook	Inspiron3511	1	47000
Notebook	Inspiron3511	1	47000
Notebook	Inspiron3511	1	47000
Notebook	Inspiron3520	1	56500
Notebook	Inspiron3520	1	56500
Notebook	Inspiron 3520	1	54000
Notebook	Inspiron 3520	1	54000
Notebook	Inspiron3520	1	61500
Notebook	Inspiron 3520	1	54000
Notebook	Vostro5620	1	63000
Notebook	Inspiron3511	1	47000
Notebook	Inspiron3520	1	52500
Notebook	Inspiron3511	1	47000
Notebook	Inspiron 14 5430	1	83000
Notebook	Inspiron 3520	1	39000
Notebook	Inspiron 3520	1	54500
Notebook	Inspiron 14 5430	1	64000
Notebook	Inspiron3520	1	56500
Notebook	G15-5520	1	70600
Notebook	Inspiron3520	1	56500
Notebook	Inspiron3520	1	52500
Notebook	Vostro5620	1	65000
Notebook	Inspiron 14 5430	1	73000
Notebook	Inspiron 3511	1	47000
Notebook	Inspiron 3511	1	47000
Notebook	Inspiron 3520	1	38500
Notebook	Inspiron 16 (5620)	1	65000
Notebook	Inspiron 3520	1	53500
Notebook	Inspiron 3520	1	59000
Notebook	Inspiron 3530	1	45000
Notebook	Inspiron5430	1	80500
Notebook	Inspiron 3520	1	54000
Desktop	AIO Inspiron 5420	1	53600
Notebook	Inspiron 3520	1	37400
Notebook	Inspiron3520	1	52000
Notebook	Inspiron3520	1	61000
Notebook	Inspiron7420	1	71000
Notebook	Inspiron3520	1	60000
Notebook	Inspiron 3520	1	37300
Notebook	Inspiron 3520	1	37300
Notebook	Inspiron 16 5635	1	57000
Notebook	Inspiron 3511	1	47000
Notebook	Inspiron3511	1	47000
Notebook	Inspiron7420	1	47000
Notebook	Inspiron 3511	1	48000
Notebook	Inspiron142in1	1	95000
Notebook	Inspiron3520	1	56500
Notebook	Inspiron3520	1	61000
Notebook	Inspiron3520	1	61000
Notebook	Inspiron3520	1	61500
Notebook	G15-5520	1	69000
Notebook	Inspiron 3511	1	47000
Notebook	Inspiron3520	1	61500
Notebook	Inspiron 3520	1	38000
Notebook	Inspiron 14 5430	1	64000
Notebook	Inspiron 14 5430	1	84000
Notebook	Inspiron 3525	1	32000
Notebook	Inspiron15(3525)	1	43500
Notebook	Inspiron3511	1	46000
Notebook	Inspiron 14 5430	1	83000
Notebook	Inspiron 3520	1	38000
Notebook	Inspiron 14 5430	1	73000
Notebook	Inspiron 3520	1	36500
Notebook	Vostro5620	1	65500
Notebook	Inspiron3511	1	47000
Notebook	G15-5520	1	70700
Notebook	Inspiron3511	1	46000
Notebook	Inspiron 3520	1	39500
Desktop	AIO Inspiron 5420	1	54000
Notebook	Inspiron3511	1	47500
Notebook	Inspiron 5630	1	78000
Notebook	Inspiron 3520	1	59500
Notebook	Inspiron15(3525)	1	43500
Notebook	Inspiron3520	1	61000
Notebook	G15-5520	1	69000
Notebook	Inspiron 3520	1	38500
Desktop	AIO Inspiron 5420	1	54000
Notebook	G15-5520	1	70000
Notebook	Inspiron 3520	1	54000
Notebook	Inspiron 3520	1	52500
Notebook	Inspiron3520	1	61000
Notebook	Inspiron3520	1	58000
Desktop	Inspiron3910	1	46000
Notebook	G15-5520	1	72000
Notebook	Inspiron3520	1	54000
Notebook	G15-5530	1	88000
Notebook	Inspiron5320	1	69500
Notebook	G15-5520	1	70600
