TBD	Article text	Sales units	TBD
CAT	Model	QTY	Price
UHD	43UR7550PSC	1	44000
AC	RS-Q19BNZE	1	47000
OLED	OLED55G3PSA	1	175000
LED	32LM560BPTC	1	19400
FF	GL-N292DPZY	1	25700
Notebook	Inspiron3520	1	60500
Notebook	Inspiron3520	1	62000
Notebook	Inspiron 3520	1	40500
Notebook	Inspiron7420	1	72000
Notebook	G15-5520	1	72000
Notebook	Inspiron3520	1	41500
Notebook	Inspiron3511	1	48500
Desktop	Vostro3020	1	46000
Notebook	Inspiron3520	1	56000
Notebook	Dell G5 15	1	67000
Notebook	Inspiron 3520	1	39000
Notebook	G15-5520	1	72000
Desktop	Vostro3020	1	46000
Notebook	G15-5520	1	72000
Notebook	Inspiron3511	1	49000
Notebook	Inspiron3511	1	49500
Notebook	Inspiron3511	1	49500
Notebook	Inspiron3520	1	62000
Desktop	AIO Inspiron 5420	1	55300
Notebook	Inspiron 3520	1	38800
Notebook	Inspiron3520	1	55000
Notebook	Inspiron7420	1	72000
Notebook	Inspiron15(3525)	1	44000
Notebook	XPS 9320	1	194000
Desktop	Vostro3020	1	46000
Desktop	Vostro3020	1	46500
Notebook	Inspiron3520	1	59000
Notebook	Dell G5 15	1	67500
Notebook	Dell G5 15	1	67500
Notebook	Inspiron3511	1	59000
Notebook	Inspiron3520	1	59000
Notebook	Inspiron3525	1	51000
Notebook	Vostro5630	1	88500
Notebook	Vostro5630	1	88500
Notebook	G15-5530	1	149000
Notebook	Inspiron3511	1	49500
Notebook	Inspiron3511	1	61000
Notebook	Inspiron 3520	1	39000
Notebook	Inspiron 3520	1	38000
Notebook	Inspiron 3520	1	39000
Desktop	Vostro3020	1	46000
Notebook	Vostro3420	1	48500
Notebook	Inspiron 7430	1	86000
Notebook	Vostro3420	1	48500
Notebook	Inspiron3511	1	49000
Notebook	Inspiron3520	1	65500
Desktop	Inspiron 3020S	1	80500
Notebook	Inspiron 14 5430	1	70000
Notebook	Inspiron3511	1	50200
Notebook	Vostro3420	1	49000
Notebook	Inspiron3525	1	43200
Notebook	Inspiron3511	1	49500
Notebook	Inspiron3520	1	56000
Notebook	Inspiron 14 5430	1	73000
Notebook	Inspiron 7430	1	85000
Notebook	Inspiron3511	1	49000
Notebook	Inspiron3511	1	49000
Notebook	Dell G5 15	1	68500
Notebook	Inspiron3520	1	61000
Notebook	Inspiron15(3525)	1	43500
Notebook	Inspiron3511	1	49500
ACCESSORIES	460-BBYX	1	1050
ACCESSORIES	Adapter	1	1250
Notebook	Inspiron 3520	1	40000
Notebook	Dell G5 15	1	67500
Notebook	Inspiron3520	1	61000
Desktop	Vostro3020	1	47000
Desktop	Vostro3020	1	47000
Desktop	Vostro3020	1	47000
Notebook	Inspiron3511	1	50200
Notebook	Inspiron3520	1	61500
Notebook	Inspiron7420	1	76000
