Article text	Sales units	TBD
Product name	Sales	Sales Amount
454270 MB IKI KAPILI BUZDOLABI BEYAZ	1	12300
260364 MI KOMBI INOX BUZDOLABI	1	10000
274532 EB BEYAZ KOMBI BUZDOLABI	3	95064
274532 MB BEYAZ KOMBI BULZDOLABI	5	99350
274532 EI 74 CM INOKS KOMBI BUZDOLABI	1	33250
284630 EI 84 CM INOX KOMBI BUZDOLABI	1	5600
315/70 R 22.5 TL FR01S	1	10208.33
315/70 R 22.5 TL M+S TR01S	4	39583.32
205/55 R16 91V P7	1	1666.67
215/75R17.5 M+S F.STEE	2	6250
315/80R22,5 M+S A.PROS	4	26666.67
315/70 R 22,5 M+S A.PROS	2	13750
315/70 R 22,5 M+S A.PROD	4	27708.32
275/35R 22 104W XL P-ZERO(VOL) NCS-(YAZ)	8	62500
295/80R22.5TL 152/148M M+S A.PROD	8	51666.67
385/65R22,5 164K M+S R02	4	35833.32
385/65R22,5 M+S A.PRTS	4	26984.12
385/65R22,5 164K M+S G02	3	28750
225/40R 18 92W XL P7 CİNT 	2	6666.67
235/75R17.5  (M+S) R02 STEER	8	38750
235/75R17.5  (M+S) R02 PFD	4	18750
295/80R 22.5 154/149M M+S FR:01S	21	192291.65999999997
nan	nan	843589.75
