2,3,4,5
"Авточехлы AUTOPROFI COMFORT, экокожа, темно-серый, размер М (COM-1105GP D.GY/D.GY (M))",3150.0,1.0,123.0
"Жесткий диск SATA-III Toshiba 12Tb MG07ACA12TE Enterprise Capacity (7200rpm) 256Mb 3.5""",30871.74,2.0,12.0
"Накопитель SSD WD Original SATA III 500Gb WDS500G2B0A Blue 2.5""",6531.0,1.0,4.0
"Крепление для 2,5"" HDD в слот 3,5"" (MF-321)",150.0,1.0,12.0
"Медиаплеер XIAOMI Mi TV Box S EU, черный",5890.0,1.0,6.0
Cамоклеящаяся метка с ID номером IL-07ME,52.85,200.0,66.0
TS 68 Доводчик для дверей весом до 90 кг,1850.22,10.0,4.0
"AT-H805A Накладная кнопка выхода металлическая 82*32мм, серебро",363.08,6.0,6.0
"ML-295A, Электромагнитный замок, 12V/24V DC, не более 0,48 A, усилие 280 кг,  250x42x25, офисный дизайн, планка в комплекте",1500.0,10.0,456.0
"LM-295A/350A   (Уголок к замкам ML-295A, ML-295AL, ML-350AL)",500.0,10.0,4.0
"Gate-Reader-MF, Считыватель бесконтактных идентификаторов Mifare® (всех типов). Протокол Wiegand 26. Считывание до 10см, в комплекте 2 крышки (чёрная)",2950.0,18.0,4.0
"Устройство дистанционного пуска УДП 513-10 ""Аварийный выход"", зеленый",390.0,7.0,5.0
"Gate-USB-MF, Настольный считыватель для чтения и записи данных на бесконтактные идентификаторы Mifare (всех типов) для реализации защищенного режима",4900.0,1.0,1.0
Картридж Brother LC3619XLY желтый 1500 стр.,1375.0,2.0,6.0
Картридж Brother LC3619XLM пурпурный 1500 стр.,1375.0,2.0,45.0
Картридж Brother LC3619XLC голубой 1500 стр.,1375.0,2.0,6.0
Картридж Brother LC3619XLBK черный 3000 стр.,2530.0,2.0,4564.0
Клавиатура Dell KB216 черный USB Multimedia (580-ADGR),500.0,1.0,75.0
"Сетевое зарядное устройство Defender UPC-10 1 порт USB, 5V / 1А, кабель",387.94,23.0,23.0
"Кабель USB-micro USB Defender USB кабель USB08-03T USB2.0 AM-MicroBM, 1.0м пакет",189.0,53.0,7.0
Разветвитель VGA 1->8-port (VGA15M+8VGA15F)+б.п. VCOM <VDS8017>,2580.0,2.0,456.0
"Комплект картриджей для HP officejet 7110 (оригинальные, XL)",13420.72,1.0,1.0
"Фотобумага Lomond  A4/230г/50л./белый, глянцевое для струйной печати",970.0,2.0,45.0
"Кабель витая пара кат. 5е, U/UTP, 4 пары, Krauler, (AWG24) 100% медь,  PVC оболочка 305м  (KRS-U/UTP-004-5e)  за 1м",17.0,305.0,45.0
